X,Y
52.302,-17.9019559
74.51305985,-31.71286328
35.21985412,-21.46702493
58.3614707,-11.19263541
57.00526237,-17.63338332
39.42314088,-31.09658685
35.06934345,-7.726648032
76.62242055,-38.57817521
89.13353682,-8.216035018
66.81184173,-35.73344486
67.84996986,-28.47288836
11.3690339,-15.24213768
41.09976888,-12.85886103
38.63026798,-20.83509077
77.24368572,-15.11668741
49.9014765,-17.87704024
2.056070045,-12.59540168
35.86290777,-20.65147174
53.51911187,-9.439604844
93.7948823,-12.16255717
89.59623575,-18.47223693
84.464854,-39.25037209
70.72496414,8.392648318
1.737154834,-17.14678265
97.87035584,-14.95510806
46.65403664,-17.46030689
90.73962569,-23.80859802
55.70636988,-15.84557944
17.36563444,-12.2683157
76.98843479,-33.28963118
3.201758489,-9.6114762
30.09210825,-16.70236088
62.17845678,-0.727147769
69.73676085,2.981540939
38.12624514,-10.43653238
67.12812185,-27.38266053
81.20206594,-15.18585661
87.30016351,-19.52480419
57.43343234,-18.72904459
6.6082187,-17.10526683
91.15138054,-30.59229026
9.423999488,-26.06193665
22.08222896,-20.33154014
8.3614178,-15.53832884
83.82181525,-17.57835735
85.22870541,-23.04817651
4.210905731,-19.41064988
88.38313222,-20.82936071
27.8893441,-6.158064821
15.82948864,-13.332172
19.1511184,-17.8950883
72.04313874,-28.1011834
99.88312125,-4.13861943
86.85314655,-19.79671159
15.03400505,-17.15966432
74.46376085,-32.42123486
58.40835571,-20.00263761
40.1976943,-25.17783026
84.6408546,-37.76554772
99.66367483,-7.882383958
71.84191942,-3.97708355
19.73185688,-8.605187752
68.42945218,-6.536369705
15.42946845,-20.61152726
38.11503947,-23.5652744
44.29600537,-39.55459409
34.47223604,-24.35625229
37.75976598,-17.03808564
1.319969259,-37.86136919
79.82392311,-27.71183076
27.8188616,-11.16493687
35.63989997,-17.3034007
33.51303041,-8.96845719
72.81793952,-23.9466277
36.68983579,-22.32225192
11.1068964,-10.21337937
54.75910902,-19.22021979
62.22080588,-29.61462139
8.736008406,-7.371042546
1.525419392,-12.99545032
4.805473983,-31.80693923
54.47269678,-16.28570609
65.99513888,-29.15399702
94.98167038,1.079801166
24.14970845,-1.536738838
48.77054095,-32.31432784
58.61711502,-26.5558538
75.61042309,-8.119673893
54.88153696,-6.456651068
31.30168915,3.427116971
59.90059972,-10.20556945
88.3983314,-28.85710981
51.31846666,-15.0814857
45.64848542,-19.57833718
43.86652112,-21.53444968
96.55493498,-16.7840035
82.10842013,-14.624
78.04603577,-8.151972735
84.4211638,-18.07616835
68.0457592,-8.808487076
39.79282975,-28.33198431
32.42458403,-21.42075553
15.73826373,-17.88650018
48.70629907,-27.09053488
68.34689379,-19.62548515
56.44232631,-22.08485455
34.15740728,-9.737034279
93.74577403,-27.78621583
13.05301487,-26.37424027
83.30680728,-16.36441048
16.67162478,-6.216828132
17.47788489,2.596390011
59.03046727,-15.08304049
62.15108633,-23.90868577
0.341778528,-18.90047161
7.977767289,-14.46412903
80.32317162,-33.39290052
31.22709394,-26.52762809
73.85458946,-25.98122651
62.49401569,-25.34558039
13.19206357,-23.30923436
6.753870845,-16.8351542
48.2932806,-23.01897794
14.12222385,-14.99812183
38.53198886,-12.17735177
52.05746889,-14.44949096
64.59444761,-14.27061271
85.71663499,-18.87548837
71.43605351,-19.70044945
96.6755569,0.751558646
58.52390528,-18.67404429
87.28722334,-11.29386987
59.28131938,-15.32557696
71.72188163,-25.55827126
89.15597796,-24.77520579
78.5094142,-12.95923984
80.71206212,-33.41370615
56.69053793,-13.70697514
28.13715339,-8.3951714
53.82380486,-34.58330066
49.95025694,-15.49268586
82.99813867,-20.91427009
3.042528033,-19.22365232
44.18070614,-5.263529629
99.60283637,-20.15035906
84.21075344,-18.13111013
67.11074114,-22.36617457
45.19731998,-24.27586892
53.77361178,-8.775556211
47.12333083,-17.31213504
68.66262555,-0.503307563
50.95484853,-18.65462346
66.06525779,-34.32175724
70.6379652,-9.177574044
21.05377614,-29.22612761
82.29689002,-14.88870732
95.6848979,-38.28551944
33.77642632,-23.3169602
64.78072405,-12.95287189
79.87939119,-19.21426166
65.10691643,-19.46756643
55.98192215,-38.24782589
28.34564745,-27.2974793
74.95523095,-25.73665799
99.61049557,-1.673679284
14.73733038,-12.55722606
37.24376559,-17.17532144
51.61742568,-19.89310265
78.50824594,-31.7853644
53.69705558,-29.41675849
6.625561416,-27.7887815
75.04993081,-13.97422143
73.74508381,-26.31257362
16.46878421,-23.59672608
11.20316759,-21.17729871
86.66880131,-12.75244833
15.30679911,-23.54620554
28.09789181,-9.430793718
28.0120492,-21.8536819
8.63411054,-29.1142759
55.49544096,-20.5568526
89.22342062,-16.48993143
5.620699003,-17.16169908
4.922365397,-10.71910363
89.72660303,-36.98435066
85.86960435,-2.660907305
95.53784132,-26.1213914
16.71709716,-15.67518738
32.9456389,-16.34132969
99.39808249,-28.26278226
50.94918013,-11.63862155
24.80834872,-29.75180154
10.80905348,-20.06945758
20.87157667,-23.16686188
91.88750982,-29.46801985
45.26885152,-14.6531313
37.7278775,-38.34901555
61.55388951,-6.060575969
1.490153279,2.835982731
85.47875285,-20.75605223
