,X,Y
,52.30206847,-16.63546183
,74.51305985,-25.31149
,35.21985412,-20.17250587
,58.3614707,-25.47685227
,57.00526237,-35.30533941
,39.42314088,-7.907437069
,35.06934345,-16.55653626
,76.62242055,-30.23691834
,89.13353682,-27.52714063
,66.81184173,-7.267331434
,67.84996986,-19.86701214
,11.3690339,-28.0753724
,41.09976888,-28.2436398
,38.63026798,-20.93451193
,77.24368572,-26.64273893
,49.9014765,-33.4674268
,2.056070045,-15.81672307
,35.86290777,-29.24548704
,53.51911187,-6.461521861
,93.7948823,-42.44706289
,89.59623575,-19.47769323
,84.464854,-22.39707721
,70.72496414,-19.44681668
,1.737154834,-18.34599555
,97.87035584,-26.15128929
,46.65403664,-32.69737281
,90.73962569,-16.13473083
,55.70636988,-14.21879413
,17.36563444,-18.57653934
,76.98843479,-15.37531554
,3.201758489,-20.85835514
,30.09210825,-10.02619892
,62.17845678,-13.47489922
,69.73676085,-25.84582138
,38.12624514,-28.408745
,67.12812185,-6.397139833
,81.20206594,-20.31646832
,87.30016351,-32.22942878
,57.43343234,-18.44932242
,6.6082187,-21.32051259
,91.15138054,-25.52798985
,9.423999488,-11.29584907
,22.08222896,-27.03523349
,8.3614178,-26.97641638
,83.82181525,-24.37774332
,85.22870541,-18.38061658
,4.210905731,-27.65497741
,88.38313222,-16.57320622
,27.8893441,-29.31192368
,15.82948864,-19.97209085
,19.1511184,-18.51079973
,72.04313874,-19.0444683
,99.88312125,-13.38293958
,86.85314655,-28.19893518
,15.03400505,-12.27898289
,74.46376085,-16.07880665
,58.40835571,-1.784360475
,40.1976943,-9.542839199
,84.6408546,-14.30491367
,99.66367483,-8.579133548
,71.84191942,-13.02815172
,19.73185688,-28.23115622
,68.42945218,-20.92689103
,15.42946845,-34.1539785
,38.11503947,-16.09191797
,44.29600537,-16.40850754
,34.47223604,-37.90113502
,37.75976598,-15.27581519
,1.319969259,-10.89659757
,79.82392311,-19.18794987
,27.8188616,-22.3580629
,35.63989997,-30.14371817
,33.51303041,0.534680206
,72.81793952,-28.85596271
,36.68983579,-3.290611812
,11.1068964,-12.56323723
,54.75910902,-10.12976791
,62.22080588,-18.06995785
,8.736008406,-18.32048686
,1.525419392,-5.327522085
,4.805473983,-12.84759822
,54.47269678,-11.96224067
,65.99513888,-21.02302402
,94.98167038,-21.77347079
,24.14970845,-15.93990469
,48.77054095,-17.0011264
,58.61711502,-11.2230731
,75.61042309,-30.93540173
,54.88153696,-18.40148574
,31.30168915,-9.87461806
,59.90059972,-8.267818648
,88.3983314,-22.83508564
,51.31846666,-11.05521601
,45.64848542,-22.58878836
,43.86652112,-1.819623074
,96.55493498,-8.145963149
,82.10842013,-26.3638308
,78.04603577,-15.84817693
,84.4211638,-18.14630056
,68.0457592,-6.155386189
,39.79282975,-16.94975597
,32.42458403,-7.602485312
,15.73826373,-10.51916838
,48.70629907,-17.98067379
,68.34689379,-28.25039687
,56.44232631,-14.78360978
,34.15740728,-24.29350257
,93.74577403,-14.16893939
,13.05301487,-3.718828447
,83.30680728,-13.44050828
,16.67162478,-18.71999878
,17.47788489,-16.51731856
,59.03046727,-25.60599072
,62.15108633,-2.842212205
,0.341778528,-23.72699839
,7.977767289,-14.30681253
,80.32317162,-7.019533996
,31.22709394,-26.44873341
,73.85458946,-9.562448929
,62.49401569,-10.31930471
,13.19206357,-19.55079801
,6.753870845,-27.79965574
,48.2932806,-17.76310896
,14.12222385,-8.128711085
,38.53198886,-15.40988411
,52.05746889,-17.38302813
,64.59444761,-18.05511298
,85.71663499,-21.16367626
,71.43605351,-19.16389122
,96.6755569,-26.76153709
,58.52390528,-21.06892654
,87.28722334,-20.46746144
,59.28131938,-19.74098231
,71.72188163,-14.73731399
,89.15597796,-10.54641795
,78.5094142,-3.053427009
,80.71206212,-11.28519781
,56.69053793,-25.62177284
,28.13715339,-6.734052813
,53.82380486,-9.703953797
,49.95025694,-17.01065458
,82.99813867,-18.73658786
,3.042528033,12.38858682
,44.18070614,-18.43500076
,99.60283637,-18.21825203
,84.21075344,-28.70870183
,67.11074114,-20.37098895
,45.19731998,-14.45380579
,53.77361178,-22.46868229
,47.12333083,-38.17152814
,68.66262555,-24.47616596
,50.95484853,-27.1254344
,66.06525779,-16.38431029
,70.6379652,-24.3640072
,21.05377614,-17.50789607
,82.29689002,-0.802828937
,95.6848979,-10.5967969
,33.77642632,-14.46921443
,64.78072405,-30.9143037
,79.87939119,-20.08352102
,65.10691643,-31.65037768
,55.98192215,-16.39952224
,28.34564745,-25.6662637
,74.95523095,-29.07111099
,99.61049557,-31.58084526
,14.73733038,-19.52712546
,37.24376559,-23.58168404
,51.61742568,-10.60763504
,78.50824594,-11.30985489
,53.69705558,-13.41776477
,6.625561416,-14.72001348
,75.04993081,-1.124524352
,73.74508381,-22.97651717
,16.46878421,-14.11735825
,11.20316759,-5.378386235
,86.66880131,-18.99619175
,15.30679911,-4.096030652
,28.09789181,-12.9738926
,28.0120492,-18.06166299
,8.63411054,-23.20186894
,55.49544096,-4.478296328
,89.22342062,-6.548153918
,5.620699003,-13.70546429
,4.922365397,-22.04451876
,89.72660303,-23.82977504
,85.86960435,-23.07714843
,95.53784132,-13.50733446
,16.71709716,-12.23973308
,32.9456389,-22.57058487
,99.39808249,-7.61292847
,50.94918013,-14.65503583
,24.80834872,-21.00166669
,10.80905348,2.026221496
,20.87157667,-4.622751969
,91.88750982,-26.57776975
,45.26885152,-16.79668953
,37.7278775,-25.43241143
,61.55388951,-30.92589237
,1.490153279,-27.54548607
,85.47875285,-22.89091329
